H,I,S,D,M,date,country
320,79,0,0,0,2021-04-01,Afghanistan
73,30,0,0,0,2021-04-01,Sweden
919,325,0,0,0,2021-04-01,Japan
249,150,0,0,0,2021-04-02,Afghanistan
52,51,0,0,0,2021-04-02,Sweden
674,570,0,0,0,2021-04-02,Japan
200,199,0,0,0,2021-04-03,Afghanistan
41,62,0,0,0,2021-04-03,Sweden
507,737,0,0,0,2021-04-03,Japan
166,233,0,0,0,2021-04-04,Afghanistan
27,76,0,0,0,2021-04-04,Sweden
382,862,0,0,0,2021-04-04,Japan
135,185,46,0,33,2021-04-05,Afghanistan
21,52,13,0,17,2021-04-05,Sweden
297,622,156,0,169,2021-04-05,Japan
115,134,74,0,76,2021-04-06,Afghanistan
18,34,21,0,30,2021-04-06,Sweden
230,444,288,0,282,2021-04-06,Japan
94,106,98,0,101,2021-04-07,Afghanistan
14,27,23,0,39,2021-04-07,Sweden
176,331,371,0,366,2021-04-07,Japan
78,88,113,0,120,2021-04-08,Afghanistan
13,14,30,0,46,2021-04-08,Sweden
147,235,422,0,440,2021-04-08,Japan
66,69,130,0,134,2021-04-09,Afghanistan
9,12,33,0,49,2021-04-09,Sweden
118,179,464,0,483,2021-04-09,Japan
60,55,139,0,145,2021-04-10,Afghanistan
7,11,36,0,49,2021-04-10,Sweden
90,140,496,0,518,2021-04-10,Japan
55,39,152,0,153,2021-04-11,Afghanistan
6,8,37,0,52,2021-04-11,Sweden
75,101,517,0,551,2021-04-11,Japan
50,28,158,0,163,2021-04-12,Afghanistan
5,8,38,0,52,2021-04-12,Sweden
63,84,528,0,569,2021-04-12,Japan
44,22,164,0,169,2021-04-13,Afghanistan
5,4,40,0,54,2021-04-13,Sweden
56,62,542,0,584,2021-04-13,Japan
41,19,165,0,174,2021-04-14,Afghanistan
4,3,41,0,55,2021-04-14,Sweden
47,43,555,0,599,2021-04-14,Japan
37,18,167,0,177,2021-04-15,Afghanistan
4,2,41,0,56,2021-04-15,Sweden
41,34,565,0,604,2021-04-15,Japan
33,17,170,0,179,2021-04-16,Afghanistan
4,1,42,0,56,2021-04-16,Sweden
36,27,574,0,607,2021-04-16,Japan
27,17,174,0,181,2021-04-17,Afghanistan
4,1,42,0,56,2021-04-17,Sweden
34,22,578,0,610,2021-04-17,Japan
26,15,177,0,181,2021-04-18,Afghanistan
4,0,43,0,56,2021-04-18,Sweden
